ap_id:001; simio_id:001; distance:4.43668733098e-09; dateTime:2018-11-25 18:51:39; RSSI:224.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:51:39; RSSI:225.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:51:40; RSSI:225.
ap_id:001; simio_id:225; distance:0.0171907220186; dateTime:2018-11-23 07:04:30; RSSI:000.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:37; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:38; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:39; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:51:39; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:39; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:39; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:51:39; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:40; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:40; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:40; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:40; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:41; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:41; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:51:41; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:56; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:56; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:53:57; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:57; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:58; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:58; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:58; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:53:58; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:53:58; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:00; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:00; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:00; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:54:00; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:00; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:01; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:01; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:02; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:02; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:02; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:02; RSSI:234.
ap_id:001; simio_id:235; distance:0.0171907220186; dateTime:2018-11-23 07:07:07; RSSI:000.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:01; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:03; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:04; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:05; RSSI:234.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:54:05; RSSI:235.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:05; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:05; RSSI:234.
ap_id:001; simio_id:001; distance:2.25393390473e-09; dateTime:2018-11-25 18:54:06; RSSI:234.
ap_id:001; simio_id:234; distance:0.0171907220186; dateTime:2018-11-23 07:07:06; RSSI:000.
ap_id:001; simio_id:001; distance:7.12756483444e-09; dateTime:2018-11-25 18:59:10; RSSI:217.
ap_id:001; simio_id:001; distance:6.66084629081e-09; dateTime:2018-11-25 18:59:10; RSSI:218.
ap_id:001; simio_id:001; distance:6.66084629081e-09; dateTime:2018-11-25 18:59:10; RSSI:218.
ap_id:001; simio_id:001; distance:6.224688844e-09; dateTime:2018-11-25 18:59:10; RSSI:219.
ap_id:001; simio_id:001; distance:6.66084629081e-09; dateTime:2018-11-25 18:59:11; RSSI:218.
ap_id:001; simio_id:001; distance:7.62698585902e-09; dateTime:2018-11-25 18:59:11; RSSI:216.
ap_id:001; simio_id:001; distance:7.62698585902e-09; dateTime:2018-11-25 18:59:11; RSSI:216.
ap_id:001; simio_id:001; distance:8.73326162383e-09; dateTime:2018-11-25 18:59:11; RSSI:214.
ap_id:001; simio_id:001; distance:5.81709132937e-09; dateTime:2018-11-25 18:59:11; RSSI:220.
ap_id:001; simio_id:001; distance:2.76169981334e-09; dateTime:2018-11-25 18:59:13; RSSI:231.
ap_id:001; simio_id:001; distance:1.96841944729e-09; dateTime:2018-11-25 18:59:13; RSSI:236.
ap_id:001; simio_id:001; distance:2.10634454232e-09; dateTime:2018-11-25 18:59:13; RSSI:235.
ap_id:001; simio_id:001; distance:2.41186469964e-09; dateTime:2018-11-25 18:59:13; RSSI:233.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:13; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:14; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:14; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:16; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:16; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:15; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:16; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:16; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:16; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:17; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:18; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:18; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:18; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:18; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:18; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:19; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:21; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:21; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:20; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:21; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:21; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:22; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:22; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:22; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:23; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:23; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:23; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:23; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:24; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:27; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:24; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:25; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:27; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:27; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:27; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:27; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:28; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:28; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:28; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:29; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:31; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:31; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:30; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:30; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:30; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:30; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:30; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:32; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:32; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:31; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:32; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:32; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:33; RSSI:232.
ap_id:001; simio_id:001; distance:2.58086154042e-09; dateTime:2018-11-25 18:59:33; RSSI:232.
