timestamp1;idAP;idSimio1;dist1;
ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 08:36:04; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 08:52:44; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 08:19:24; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 07:29:24; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 07:46:04; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 07:46:04; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 07:46:04; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 07:29:24; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 07:29:25; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 07:29:25; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 08:36:05; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 06:53:20; RSSI:001.

ap_id:001; simio_id:193; distance:0.0171907220186; dateTime:2018-11-24 23:33:20; RSSI:000.

ap_id:001; simio_id:196; distance:0.0171907220186; dateTime:2018-11-24 23:33:23; RSSI:000.

